PlayerName,team,opp,Prop,Over_Under,betrivers,draftkings,fanduel,mgm,Value,Implied_Prob
Jake Irvin,WSH,ARI,Strikeouts,Over,(4.5) -114,(4.5) -125,(4.5) -108,(4.5) -115,5.0,53.56%
Michael Lorenzen,TEX,NYM,Strikeouts,Over,(4.5) -109,(4.5) -120,(4.5) -118,(4.5) ,4.5,53.61%
Jake Irvin,WSH,ARI,Strikeouts,Under,(4.5) -117,(4.5) 100,(4.5) -118,(4.5) -115,5.0,52.88%
Luis Severino,NYM,@TEX,Strikeouts,Under,(4.5) -127,(4.5) -120,(4.5) -122,(4.5) ,4.5,55.15%
Aaron Nola,PHI,SD,Strikeouts,Over,(5.5) 143,(4.5) -155,(4.5) -124,(4.5) -155,5.0,54.52%
Griffin Canning,LAA,MIL,Strikeouts,Over,(4.5) -134,(4.5) -140,(4.5) -134,(4.5) -140,5.0,57.8%
Bailey Falter,PIT,CIN,Strikeouts,Under,(4.5) -148,(4.5) -140,(4.5) -142,(4.5) -150,4.0,59.17%
Spencer Schwellenbach,ATL,DET,Strikeouts,Under,(4.5) 150,(4.5) -140,(4.5) -146,(4.5) -140,4.0,54.0%
Aaron Civale,TB,@MIN,Strikeouts,Over,(5.5) 123,(4.5) -165,(4.5) -148,(4.5) -160,5.0,57.08%
Tobias Myers,MIL,@LAA,Strikeouts,Under,(4.5) 148,(4.5) -145,(4.5) -164,(4.5) -150,4.0,55.41%
Walker Buehler,LAD,@COL,Strikeouts,Over,(5.5) 123,(5.5) 120,(4.5) -170,(5.5) 115,5.0,49.94%
Griffin Canning,LAA,MIL,Strikeouts,Under,(4.5) 100,(4.5) 110,(4.5) 106,(4.5) 105,5.0,48.74%
Bailey Falter,PIT,CIN,Strikeouts,Over,(4.5) 110,(4.5) 110,(4.5) 112,(4.5) 115,4.0,47.23%
Aaron Civale,TB,@MIN,Strikeouts,Under,(5.5) 128,(4.5) 130,(4.5) 116,(4.5) 125,5.0,44.52%
Spencer Schwellenbach,ATL,DET,Strikeouts,Over,(4.5) 112,(4.5) 110,(4.5) 116,(4.5) 105,4.0,47.47%
Tobias Myers,MIL,@LAA,Strikeouts,Over,(4.5) 118,(4.5) 115,(4.5) 128,(4.5) 115,4.0,45.69%
Walker Buehler,LAD,@COL,Strikeouts,Under,(5.5) 130,(5.5) -155,(4.5) 132,(5.5) -155,5.0,52.04%
Justin Steele,CHC,SF,Strikeouts,Under,(5.5) -114,(5.5) -115,(5.5) -110,(5.5) -120,5.5,53.42%
Triston McKenzie,CLE,SEA,Strikeouts,Over,(5.5) -110,(5.5) 110,(5.5) -110,(5.5) 100,5.5,50.6%
Nestor Cortes,NYY,BAL,Strikeouts,Over,(5.5) -104,(5.5) -105,(5.5) -110,(5.5) -115,5.5,52.02%
Nestor Cortes,NYY,BAL,Strikeouts,Under,(5.5) -129,(5.5) -120,(5.5) -116,(5.5) -110,5.5,54.24%
Justin Steele,CHC,SF,Strikeouts,Over,(5.5) -117,(5.5) -110,(5.5) -116,(5.5) -110,5.5,53.1%
Triston McKenzie,CLE,SEA,Strikeouts,Under,(5.5) -121,(5.5) -140,(5.5) -116,(5.5) -135,5.5,56.06%
Michael King,SD,@PHI,Strikeouts,Over,(5.5) -108,(5.5) -110,(5.5) -128,(5.5) -120,5.5,53.75%
Logan Webb,SF,@CHC,Strikeouts,Under,(5.5) -130,(5.5) -130,(5.5) -128,(5.5) -150,5.5,57.3%
Chris Bassitt,TOR,BOS,Strikeouts,Over,(5.5) -134,(5.5) -115,(5.5) -128,(5.5) -130,5.5,55.85%
Framber Valdez,HOU,@CWS,Strikeouts,Over,(5.5) -109,(5.5) -140,(5.5) -136,(5.5) -130,5.5,56.16%
Alec Marsh,KC,@OAK,Strikeouts,Over,(6.5) 125,(6.5) 115,(5.5) -162,(6.5) 110,6.0,50.1%
Tanner Houck,BOS,@TOR,Strikeouts,Under,(5.5) 125,(4.5) 110,(5.5) -162,(4.5) 100,5.0,50.97%
Lance Lynn,STL,@MIA,Strikeouts,Under,(5.5) 132,(5.5) -170,(5.5) -162,(5.5) -175,5.0,57.88%
Chris Bassitt,TOR,BOS,Strikeouts,Under,(5.5) 100,(5.5) -110,(5.5) 100,(5.5) 100,5.5,50.6%
Logan Webb,SF,@CHC,Strikeouts,Over,(5.5) -103,(5.5) 100,(5.5) 100,(5.5) 115,5.5,49.31%
Michael King,SD,@PHI,Strikeouts,Under,(5.5) -122,(5.5) -115,(5.5) 100,(5.5) -110,5.5,52.71%
Framber Valdez,HOU,@CWS,Strikeouts,Under,(5.5) -122,(5.5) 105,(5.5) 106,(5.5) 100,5.5,50.57%
Tanner Houck,BOS,@TOR,Strikeouts,Over,(5.5) 132,(4.5) -135,(5.5) 126,(4.5) -130,5.0,50.33%
Lance Lynn,STL,@MIA,Strikeouts,Over,(5.5) 120,(5.5) 135,(5.5) 126,(5.5) 135,5.0,43.7%
Alec Marsh,KC,@OAK,Strikeouts,Under,(6.5) 123,(6.5) -145,(5.5) 126,(6.5) -150,6.0,52.07%
Nick Lodolo,CIN,@PIT,Strikeouts,Over,(6.5) 100,(6.5) -115,(6.5) -106,(6.5) -125,6.5,52.63%
Nick Lodolo,CIN,@PIT,Strikeouts,Under,(6.5) -132,(6.5) -110,(6.5) -120,(6.5) -105,6.5,53.76%
Lane Thomas,WSH,ARI,Runs,Under,None,(0.5) -120,None,(0.5) -115,0.5,54.02%
Lane Thomas,WSH,ARI,Runs,Over,None,(0.5) -110,None,(0.5) -115,0.5,52.93%
Max Kepler,MIN,TB,Runs,Under,(0.5) -127,(0.5) -130,None,(0.5) -125,0.5,56.01%
Maikel Garcia,KC,@OAK,Runs,Under,(0.5) -127,(0.5) -115,None,(0.5) -115,0.5,54.31%
Matt Vierling,DET,@ATL,Runs,Under,(0.5) -136,(0.5) -130,None,(0.5) -125,0.5,56.57%
Ketel Marte,ARI,@WSH,Runs,Under,(0.5) -124,(0.5) -120,None,(0.5) -120,0.5,54.82%
Matt Vierling,DET,@ATL,Total Bases,Under,(1.5) -152,(1.5) -135,None,(1.5) -130,1.5,58.1%
Matt Vierling,DET,@ATL,Total Bases,Over,(1.5) 108,(1.5) 100,None,(1.5) 100,1.5,49.36%
Matt Carpenter,STL,@MIA,Total Bases,Under,None,(0.5) -110,None,(0.5) -110,0.5,52.38%
Matt Carpenter,STL,@MIA,Total Bases,Over,None,(0.5) -120,None,(0.5) -120,0.5,54.55%
Jose Siri,TB,@MIN,Total Bases,Under,(1.5) -275,(0.5) -105,None,(0.5) -105,0.5,58.59%
Ketel Marte,ARI,@WSH,Runs,Over,(0.5) -109,(0.5) -110,None,(0.5) -110,0.5,52.31%
Maikel Garcia,KC,@OAK,Runs,Over,(0.5) -107,(0.5) -115,None,(0.5) -110,0.5,52.52%
Max Kepler,MIN,TB,Runs,Over,(0.5) -107,(0.5) -105,None,(0.5) -105,0.5,51.38%
Matt Vierling,DET,@ATL,Runs,Over,(0.5) 100,(0.5) 100,None,(0.5) -105,0.5,50.41%
Ryan Mountcastle,BAL,@NYY,Total Bases,Over,(1.5) -106,(1.5) -105,None,(1.5) 100,1.5,50.89%
Miguel Rojas,LAD,@COL,Total Bases,Under,(1.5) -143,(1.5) -115,None,(1.5) -125,1.5,55.96%
Trea Turner,PHI,SD,Runs,Under,(0.5) -118,(0.5) 100,None,(0.5) 100,0.5,51.38%
Trevor Larnach,MIN,TB,Runs,Over,(0.5) -121,(0.5) -110,None,(0.5) -105,0.5,52.78%
Trevor Larnach,MIN,TB,Runs,Under,(0.5) -113,(0.5) -120,None,(0.5) -125,0.5,54.38%
Tyler Locklear,SEA,@CLE,Total Bases,Over,None,(0.5) -125,None,(0.5) -130,0.5,56.04%
Tyler Locklear,SEA,@CLE,Total Bases,Under,None,(0.5) -105,None,(0.5) 100,0.5,50.61%
Will Benson,CIN,@PIT,Total Bases,Over,None,(0.5) -115,None,(0.5) -115,0.5,53.49%
Will Benson,CIN,@PIT,Total Bases,Under,None,(0.5) -115,None,(0.5) -115,0.5,53.49%
William Contreras,MIL,@LAA,Total Bases,Over,(1.5) -118,(1.5) -115,None,(1.5) -115,1.5,53.7%
William Contreras,MIL,@LAA,Total Bases,Under,(1.5) -118,(1.5) -115,None,(1.5) -115,1.5,53.7%
William Contreras,MIL,@LAA,Runs,Over,(0.5) -129,(0.5) -125,None,(0.5) -125,0.5,55.81%
William Contreras,MIL,@LAA,Runs,Under,(0.5) -106,(0.5) -105,None,(0.5) -105,0.5,51.3%
Yainer Diaz,HOU,@CWS,Total Bases,Over,(1.5) -117,(1.5) -125,None,(1.5) -120,1.5,54.67%
Yainer Diaz,HOU,@CWS,Total Bases,Under,(1.5) -120,(1.5) -105,None,(1.5) -105,1.5,52.33%
Yordan Alvarez,HOU,@CWS,Total Bases,Over,(1.5) -129,(1.5) -125,None,(1.5) -130,1.5,56.14%
Yordan Alvarez,HOU,@CWS,Total Bases,Under,(1.5) -108,(1.5) -105,None,(1.5) 100,1.5,51.05%
Trea Turner,PHI,SD,Runs,Over,(0.5) -115,(0.5) -135,None,(0.5) -135,0.5,56.13%
Miguel Rojas,LAD,@COL,Total Bases,Over,(1.5) 102,(1.5) -115,None,(1.5) -105,1.5,51.4%
Spencer Steer,CIN,@PIT,Runs,Under,(0.5) -127,(0.5) -115,None,(0.5) -120,0.5,54.66%
Spencer Steer,CIN,@PIT,Total Bases,Under,(1.5) -130,(1.5) -125,None,(1.5) -125,1.5,55.88%
Nolan Jones,COL,LAD,Runs,Over,(0.5) 112,(0.5) -115,None,(0.5) -115,0.5,51.38%
Nolan Jones,COL,LAD,Runs,Under,(0.5) -152,(0.5) -115,None,(0.5) -115,0.5,55.76%
Ozzie Albies,ATL,DET,Runs,Over,(0.5) -112,(0.5) -120,None,(0.5) -120,0.5,53.97%
Ozzie Albies,ATL,DET,Runs,Under,(0.5) -121,(0.5) -110,None,(0.5) -105,0.5,52.78%
Patrick Bailey,SF,@CHC,Runs,Over,(0.5) 107,(0.5) -110,None,(0.5) -110,0.5,51.02%
Patrick Bailey,SF,@CHC,Runs,Under,(0.5) -148,(0.5) -125,None,(0.5) -120,0.5,56.59%
Royce Lewis,MIN,TB,Total Bases,Over,(1.5) -120,(1.5) -105,None,(1.5) 100,1.5,51.92%
Royce Lewis,MIN,TB,Total Bases,Under,(1.5) -117,(1.5) -130,None,(1.5) -130,1.5,55.65%
Jose Siri,TB,@MIN,Total Bases,Over,(1.5) 180,(0.5) -125,None,(0.5) -125,0.5,48.94%
Ryan Mountcastle,BAL,@NYY,Total Bases,Under,(1.5) -132,(1.5) -125,None,(1.5) -130,1.5,56.32%
Seiya Suzuki,CHC,SF,Total Bases,Over,(1.5) 112,(1.5) -105,None,(1.5) 100,1.5,49.46%
Seiya Suzuki,CHC,SF,Total Bases,Under,(1.5) -157,(1.5) -125,None,(1.5) -130,1.5,57.72%
Seiya Suzuki,CHC,SF,Runs,Over,None,(0.5) -115,None,(0.5) -110,0.5,52.93%
Seiya Suzuki,CHC,SF,Runs,Under,None,(0.5) -115,None,(0.5) -115,0.5,53.49%
Spencer Steer,CIN,@PIT,Total Bases,Over,(1.5) -107,(1.5) -105,None,(1.5) -105,1.5,51.38%
Spencer Steer,CIN,@PIT,Runs,Over,(0.5) -107,(0.5) -115,None,(0.5) -110,0.5,52.52%
Jose Altuve,HOU,@CWS,Runs,Under,(0.5) -112,(0.5) 100,None,(0.5) 100,0.5,50.94%
Jo Adell,LAA,MIL,Total Bases,Over,None,(0.5) -125,None,(0.5) -120,0.5,55.05%
Jorge Soler,SF,@CHC,Runs,Under,(0.5) -127,(0.5) -115,None,(0.5) -115,0.5,54.31%
CJ Abrams,WSH,ARI,Total Bases,Under,(1.5) -125,(1.5) 100,None,(1.5) 100,1.5,51.85%
Carlos Correa,MIN,TB,Runs,Over,(0.5) 102,(0.5) -110,None,(0.5) -105,0.5,51.04%
Carlos Correa,MIN,TB,Runs,Under,(0.5) -137,(0.5) -120,None,(0.5) -120,0.5,55.63%
Cedric Mullins,BAL,@NYY,Total Bases,Over,None,(0.5) -115,None,(0.5) -115,0.5,53.49%
Cedric Mullins,BAL,@NYY,Total Bases,Under,None,(0.5) -115,None,(0.5) -110,0.5,52.93%
Charlie Blackmon,COL,LAD,Total Bases,Over,(1.5) 102,(1.5) -110,None,(1.5) -120,1.5,52.14%
Charlie Blackmon,COL,LAD,Total Bases,Under,(1.5) -143,(1.5) -120,None,(1.5) -110,1.5,55.26%
CJ Abrams,WSH,ARI,Total Bases,Over,(1.5) -112,(1.5) -135,None,(1.5) -130,1.5,55.6%
Charlie Blackmon,COL,LAD,Runs,Over,(0.5) -112,(0.5) -120,None,(0.5) -120,0.5,53.97%
Christian Bethancourt,MIA,STL,Total Bases,Over,None,(0.5) -130,None,(0.5) -130,0.5,56.52%
Christian Bethancourt,MIA,STL,Total Bases,Under,None,(0.5) 100,None,(0.5) 100,0.5,50.0%
Christian Yelich,MIL,@LAA,Runs,Over,(0.5) -109,(0.5) -115,None,(0.5) -115,0.5,53.04%
Christian Yelich,MIL,@LAA,Runs,Under,(0.5) -125,(0.5) -115,None,(0.5) -110,0.5,53.81%
Christopher Morel,CHC,SF,Runs,Over,None,(0.5) -125,None,(0.5) -120,0.5,55.05%
Christopher Morel,CHC,SF,Runs,Under,None,(0.5) -105,None,(0.5) -105,0.5,51.22%
Cody Bellinger,CHC,SF,Total Bases,Over,(1.5) 102,(1.5) 100,None,(1.5) 100,1.5,49.83%
Charlie Blackmon,COL,LAD,Runs,Under,(0.5) -122,(0.5) -110,None,(0.5) -110,0.5,53.24%
Bryce Harper,PHI,SD,Runs,Under,(0.5) -120,(0.5) -110,None,(0.5) -110,0.5,53.1%
Bryce Harper,PHI,SD,Runs,Over,(0.5) -114,(0.5) -120,None,(0.5) -120,0.5,54.12%
Brice Turang,MIL,@LAA,Runs,Under,(0.5) -136,(0.5) -120,None,(0.5) -120,0.5,55.57%
Aaron Judge,NYY,BAL,Total Bases,Over,(1.5) -122,(1.5) -125,None,(1.5) -125,1.5,55.36%
Aaron Judge,NYY,BAL,Total Bases,Under,(1.5) -114,(1.5) -105,None,(1.5) -105,1.5,51.9%
Alex Bregman,HOU,@CWS,Runs,Over,(0.5) -134,(0.5) -125,None,(0.5) -130,0.5,56.45%
Alex Bregman,HOU,@CWS,Runs,Under,(0.5) -103,(0.5) -105,None,(0.5) 100,0.5,50.65%
Andrew Knizner,TEX,NYM,Total Bases,Over,None,(0.5) -125,None,(0.5) -125,0.5,55.56%
Andrew Knizner,TEX,NYM,Total Bases,Under,None,(0.5) -105,None,(0.5) -105,0.5,51.22%
Andrew McCutchen,PIT,CIN,Runs,Over,(0.5) 105,(0.5) 100,None,(0.5) 105,0.5,49.19%
Andrew McCutchen,PIT,CIN,Runs,Under,(0.5) -143,(0.5) -130,None,(0.5) -135,0.5,57.61%
Austin Riley,ATL,DET,Total Bases,Over,(1.5) -106,(1.5) -105,None,(1.5) -105,1.5,51.3%
Austin Riley,ATL,DET,Total Bases,Under,(1.5) -132,(1.5) -125,None,(1.5) -120,1.5,55.67%
Austin Riley,ATL,DET,Runs,Over,(0.5) -113,(0.5) -125,None,(0.5) -120,0.5,54.38%
Austin Riley,ATL,DET,Runs,Under,(0.5) -121,(0.5) -105,None,(0.5) -110,0.5,52.78%
Bo Naylor,CLE,SEA,Total Bases,Over,(1.5) 205,(0.5) -120,None,(0.5) -125,0.5,47.63%
Bo Naylor,CLE,SEA,Total Bases,Under,(1.5) -305,(0.5) -110,None,(0.5) -105,0.5,59.64%
Brenton Doyle,COL,LAD,Runs,Over,(0.5) 100,(0.5) -105,None,(0.5) -110,0.5,51.2%
Brenton Doyle,COL,LAD,Runs,Under,(0.5) -136,(0.5) -125,None,(0.5) -120,0.5,55.91%
Brice Turang,MIL,@LAA,Runs,Over,(0.5) 100,(0.5) -110,None,(0.5) -110,0.5,51.59%
Cody Bellinger,CHC,SF,Total Bases,Under,(1.5) -143,(1.5) -130,None,(1.5) -130,1.5,57.3%
Cody Bellinger,CHC,SF,Runs,Over,(0.5) -106,(0.5) -110,None,(0.5) -110,0.5,52.07%
Cody Bellinger,CHC,SF,Runs,Under,(0.5) -129,(0.5) -120,None,(0.5) -120,0.5,55.14%
Corbin Carroll,ARI,@WSH,Runs,Over,(0.5) -114,(0.5) -125,None,(0.5) -125,0.5,54.79%
Heliot Ramos,SF,@CHC,Runs,Over,(0.5) -110,(0.5) -125,None,(0.5) -120,0.5,54.16%
Heliot Ramos,SF,@CHC,Runs,Under,(0.5) -122,(0.5) -105,None,(0.5) -105,0.5,52.46%
J.P. Crawford,SEA,@CLE,Runs,Over,(0.5) -104,(0.5) -110,None,(0.5) -110,0.5,51.91%
J.P. Crawford,SEA,@CLE,Runs,Under,(0.5) -132,(0.5) -120,None,(0.5) -120,0.5,55.33%
Jarred Kelenic,ATL,DET,Runs,Over,(0.5) -107,(0.5) -110,None,(0.5) -110,0.5,52.15%
Jarred Kelenic,ATL,DET,Runs,Under,(0.5) -129,(0.5) -120,None,(0.5) -120,0.5,55.14%
Jarren Duran,BOS,@TOR,Runs,Over,(0.5) -103,(0.5) -115,None,(0.5) -115,0.5,52.57%
Jarren Duran,BOS,@TOR,Runs,Under,(0.5) -134,(0.5) -115,None,(0.5) -110,0.5,54.38%
Zack Gelof,OAK,KC,Total Bases,Over,None,(0.5) -130,None,(0.5) -135,0.5,56.98%
Jo Adell,LAA,MIL,Total Bases,Under,None,(0.5) -105,None,(0.5) -105,0.5,51.22%
Joc Pederson,ARI,@WSH,Total Bases,Over,(1.5) -112,(1.5) 100,None,(1.5) -105,1.5,51.35%
Joc Pederson,ARI,@WSH,Total Bases,Under,(1.5) -124,(1.5) -130,None,(1.5) -125,1.5,55.81%
Joc Pederson,ARI,@WSH,Runs,Over,(0.5) -113,(0.5) -115,None,(0.5) -110,0.5,52.97%
Joc Pederson,ARI,@WSH,Runs,Under,(0.5) -121,(0.5) -115,None,(0.5) -115,0.5,53.91%
Jorge Soler,SF,@CHC,Total Bases,Over,(1.5) 108,(1.5) -105,None,(1.5) -105,1.5,50.17%
Jorge Soler,SF,@CHC,Total Bases,Under,(1.5) -150,(1.5) -125,None,(1.5) -120,1.5,56.7%
Jorge Soler,SF,@CHC,Runs,Over,(0.5) -108,(0.5) -115,None,(0.5) -110,0.5,52.6%
Heliot Ramos,SF,@CHC,Total Bases,Under,(1.5) -139,(1.5) -130,None,(1.5) -120,1.5,56.41%
Jose Altuve,HOU,@CWS,Runs,Over,(0.5) -122,(0.5) -130,None,(0.5) -130,0.5,56.0%
Heliot Ramos,SF,@CHC,Total Bases,Over,(1.5) 100,(1.5) -105,None,(1.5) -105,1.5,50.81%
Geraldo Perdomo,ARI,@WSH,Total Bases,Over,None,(0.5) -135,None,(0.5) -135,0.5,57.45%
Corbin Carroll,ARI,@WSH,Runs,Under,(0.5) -120,(0.5) -105,None,(0.5) -105,0.5,52.33%
Corey Seager,TEX,NYM,Total Bases,Over,(1.5) -118,(1.5) -105,None,(1.5) -105,1.5,52.19%
Corey Seager,TEX,NYM,Total Bases,Under,(1.5) -118,(1.5) -125,None,(1.5) -120,1.5,54.74%
Corey Seager,TEX,NYM,Runs,Over,(0.5) -124,(0.5) -115,None,(0.5) -110,0.5,53.74%
Corey Seager,TEX,NYM,Runs,Under,(0.5) -110,(0.5) -115,None,(0.5) -120,0.5,53.47%
Dylan Moore,SEA,@CLE,Total Bases,Over,None,(0.5) -115,None,(0.5) -120,0.5,54.02%
Dylan Moore,SEA,@CLE,Total Bases,Under,None,(0.5) -115,None,(0.5) -110,0.5,52.93%
Eddie Rosario,WSH,ARI,Runs,Over,None,(0.5) -110,None,(0.5) -105,0.5,51.8%
Eddie Rosario,WSH,ARI,Runs,Under,None,(0.5) -120,None,(0.5) -120,0.5,54.55%
Elly De La Cruz,CIN,@PIT,Runs,Over,(0.5) 102,(0.5) -105,None,(0.5) -105,0.5,50.65%
Elly De La Cruz,CIN,@PIT,Runs,Under,(0.5) -139,(0.5) -125,None,(0.5) -125,0.5,56.42%
Ezequiel Tovar,COL,LAD,Total Bases,Over,(1.5) -103,(1.5) -115,None,(1.5) -115,1.5,52.57%
Ezequiel Tovar,COL,LAD,Total Bases,Under,(1.5) -137,(1.5) -115,None,(1.5) -115,1.5,54.93%
Francisco Lindor,NYM,@TEX,Runs,Over,(0.5) -117,(0.5) -120,None,(0.5) -120,0.5,54.34%
Francisco Lindor,NYM,@TEX,Runs,Under,(0.5) -117,(0.5) -110,None,(0.5) -110,0.5,52.89%
Garrett Stubbs,PHI,SD,Total Bases,Over,None,(0.5) -120,None,(0.5) -120,0.5,54.55%
Garrett Stubbs,PHI,SD,Total Bases,Under,None,(0.5) -110,None,(0.5) -110,0.5,52.38%
Geraldo Perdomo,ARI,@WSH,Total Bases,Under,None,(0.5) 105,None,(0.5) 105,0.5,48.78%
Zack Gelof,OAK,KC,Total Bases,Under,None,(0.5) 100,None,(0.5) 100,0.5,50.0%
